i,j,similarity
37,107,1.000000238418579
7,25,1.0000001192092896
8,91,1.0000001192092896
18,101,1.0000001192092896
30,67,1.0000001192092896
6,61,1.0
41,55,1.0
41,69,1.0
41,97,1.0
49,63,1.0
55,69,1.0
55,97,1.0
69,97,1.0
45,87,0.9999999403953552
59,115,0.9999999403953552
3,44,0.9999998807907104
86,100,0.9999998807907104
99,113,0.9999998807907104
5,74,0.9999998211860657
11,94,0.9999996423721313
81,95,0.999984085559845
11,66,0.9988507628440857
66,94,0.9988507628440857
30,53,0.9981598854064941
53,67,0.9981598854064941
40,82,0.9951887130737305
28,51,0.9901947975158691
11,29,0.9891065359115601
29,94,0.9891065359115601
29,66,0.9881927371025085
11,60,0.9834842681884766
94,60,0.9834842681884766
60,66,0.9815903306007385
60,29,0.9804658889770508
45,71,0.9630017280578613
71,87,0.9630017280578613
19,68,0.9420673251152039
4,89,0.8079884052276611
4,37,0.7863942384719849
4,107,0.7863942384719849
22,43,0.7850084900856018
37,45,0.7818322777748108
37,87,0.7818322777748108
45,107,0.7818322777748108
87,107,0.7818322777748108
22,57,0.7756544351577759
71,89,0.7739046216011047
43,57,0.7681469917297363
45,89,0.7659643292427063
87,89,0.7659643292427063
